ticker,date,time,title,sentiment_value
APLE,2021-03-19,09:00AM,Apple Hospitality REIT Announces Distribution for First Quarter of 2021,neutral
APLE,2021-03-02,04:15PM,Apple Hospitality REIT Announces Appointment of Howard Woolley to its Board of Directors and Date for its 2021 Annual Meeting of Shareholders,neutral
APLE,2021-03-02,06:30AM,Apple Hospitality REIT Extends Credit Facility Waiver Period and Enhances Financial Flexibility,positive
APLE,2021-02-24,07:45AM,"Apple Hospitality REIT, Inc. to Host Earnings Call",neutral
APLE,2021-02-23,04:15PM,Apple Hospitality REIT Reports Results of Operations for Fourth Quarter and Full Year 2020,neutral
APLE,2021-01-07,04:30PM,Apple Hospitality REIT Announces Dates for Fourth Quarter and Full Year 2020 Earnings Release and Conference Call,neutral
APLE,2020-12-21,09:00AM,Apple Hospitality REIT Enhances Corporate Responsibility Disclosures,neutral
APLE,2020-12-18,09:00AM,Apple Hospitality REIT Recognized with 2019 Hilton Legacy Award,positive
APLE,2020-12-14,11:18PM,"Apple Hospitality REIT, Inc. (NYSE:APLE) Insiders Increased Their Holdings",neutral
APLE,2020-12-13,09:58PM,Is APLE A Good Stock To Buy Now?,positive
APLE,2020-11-05,04:15PM,Apple Hospitality REIT Reports Results of Operations for Third Quarter 2020,neutral
APLE,2020-10-16,06:33AM,Apple Hospitality REIT's (NYSE:APLE) Stock Price Has Reduced 47% In The Past Five Years,negative
APLE,2020-09-28,04:15PM,Apple Hospitality REIT Announces Dates for Third Quarter 2020 Earnings Release and Conference Call,neutral
APLE,2020-09-23,02:01PM,Top Hotel Stocks for Q4 2020,neutral
APLE,2020-08-17,10:31AM,"What Percentage Of Apple Hospitality REIT, Inc. (NYSE:APLE) Shares Do Insiders Own?",neutral
APLE,2020-08-14,09:00AM,"Apple Hospitality REIT Acquires Hyatt House and Hyatt Place in Tempe, Arizona",neutral
APLE,2020-08-06,04:15PM,Apple Hospitality REIT Reports Results of Operations for Second Quarter 2020,neutral
APLE,2020-07-07,09:00AM,Apple Hospitality REIT Announces Dates for Second Quarter 2020 Earnings Release and Conference Call,neutral
APLE,2020-07-04,02:00PM,Were Hedge Funds Right About Ditching Apple Hospitality REIT Inc (APLE)?,neutral
APLE,2020-06-27,01:12AM,Edited Transcript of APLE earnings conference call or presentation 19-May-20 2:00pm GMT,neutral
